Day,Day number,Conversions_version_1,Conversions_version_2,Conversions_version_3,Conversions_version_4
Sunday,1,5,8,6,11
Monday,2,1,16,9,3
Tuesday,3,8,13,7,11
Wednesday,4,4,18,5,3
Thursday,5,1,18,9,10
Friday,6,8,14,11,12
Saterday,7,6,4,4,5
Sunday,8,5,17,2,9
Monday,9,7,12,1,5
Tuesday,10,8,11,6,6
Wednesday,11,9,7,3,6
Thursday,12,4,17,5,2
Friday,13,9,3,6,6
Saterday,14,6,12,7,6
Sunday,15,8,2,8,7
Monday,16,8,9,8,13
Tuesday,17,7,19,3,8
Wednesday,18,3,3,4,5
Thursday,19,9,10,7,1
Friday,20,7,19,4,5
Saterday,21,9,18,6,2
Sunday,22,3,6,1,6
Monday,23,2,12,5,12
Tuesday,24,1,10,2,8
Wednesday,25,2,8,1,3
Thursday,26,3,8,8,5
Friday,27,7,7,13,12
Saterday,28,1,14,8,6